Image,Label
dataset/t10k/0.png,9
dataset/t10k/1.png,2
dataset/t10k/2.png,1
dataset/t10k/3.png,1
dataset/t10k/4.png,6
dataset/t10k/5.png,1
dataset/t10k/6.png,4
dataset/t10k/7.png,6
dataset/t10k/8.png,5
dataset/t10k/9.png,7
dataset/t10k/10.png,4
dataset/t10k/11.png,5
dataset/t10k/12.png,7
dataset/t10k/13.png,3
dataset/t10k/14.png,4
dataset/t10k/15.png,1
dataset/t10k/16.png,2
dataset/t10k/17.png,4
dataset/t10k/18.png,8
dataset/t10k/19.png,0
dataset/t10k/20.png,2
dataset/t10k/21.png,5
dataset/t10k/22.png,7
dataset/t10k/23.png,9
dataset/t10k/24.png,1
dataset/t10k/25.png,4
dataset/t10k/26.png,6
dataset/t10k/27.png,0
dataset/t10k/28.png,9
dataset/t10k/29.png,3
dataset/t10k/30.png,8
dataset/t10k/31.png,8
dataset/t10k/32.png,3
dataset/t10k/33.png,3
dataset/t10k/34.png,8
dataset/t10k/35.png,0
dataset/t10k/36.png,7
dataset/t10k/37.png,5
dataset/t10k/38.png,7
dataset/t10k/39.png,9
dataset/t10k/40.png,6
dataset/t10k/41.png,1
dataset/t10k/42.png,3
dataset/t10k/43.png,7
dataset/t10k/44.png,6
dataset/t10k/45.png,7
dataset/t10k/46.png,2
dataset/t10k/47.png,1
dataset/t10k/48.png,2
dataset/t10k/49.png,2
dataset/t10k/50.png,4
dataset/t10k/51.png,4
dataset/t10k/52.png,5
dataset/t10k/53.png,8
dataset/t10k/54.png,2
dataset/t10k/55.png,2
dataset/t10k/56.png,8
dataset/t10k/57.png,4
dataset/t10k/58.png,8
dataset/t10k/59.png,0
dataset/t10k/60.png,7
dataset/t10k/61.png,7
dataset/t10k/62.png,8
dataset/t10k/63.png,5
dataset/t10k/64.png,1
dataset/t10k/65.png,1
dataset/t10k/66.png,2
dataset/t10k/67.png,3
dataset/t10k/68.png,9
dataset/t10k/69.png,8
dataset/t10k/70.png,7
dataset/t10k/71.png,0
dataset/t10k/72.png,2
dataset/t10k/73.png,6
dataset/t10k/74.png,2
dataset/t10k/75.png,3
dataset/t10k/76.png,1
dataset/t10k/77.png,2
dataset/t10k/78.png,8
dataset/t10k/79.png,4
dataset/t10k/80.png,1
dataset/t10k/81.png,8
dataset/t10k/82.png,5
dataset/t10k/83.png,9
dataset/t10k/84.png,5
dataset/t10k/85.png,0
dataset/t10k/86.png,3
dataset/t10k/87.png,2
dataset/t10k/88.png,0
dataset/t10k/89.png,6
dataset/t10k/90.png,5
dataset/t10k/91.png,3
dataset/t10k/92.png,6
dataset/t10k/93.png,7
dataset/t10k/94.png,1
dataset/t10k/95.png,8
dataset/t10k/96.png,0
dataset/t10k/97.png,1
dataset/t10k/98.png,4
dataset/t10k/99.png,2
dataset/t10k/100.png,3
dataset/t10k/101.png,6
dataset/t10k/102.png,7
dataset/t10k/103.png,2
dataset/t10k/104.png,7
dataset/t10k/105.png,8
dataset/t10k/106.png,5
dataset/t10k/107.png,9
dataset/t10k/108.png,9
dataset/t10k/109.png,4
dataset/t10k/110.png,2
dataset/t10k/111.png,5
dataset/t10k/112.png,7
dataset/t10k/113.png,0
dataset/t10k/114.png,5
dataset/t10k/115.png,2
dataset/t10k/116.png,8
dataset/t10k/117.png,6
dataset/t10k/118.png,7
dataset/t10k/119.png,8
dataset/t10k/120.png,0
dataset/t10k/121.png,0
dataset/t10k/122.png,9
dataset/t10k/123.png,9
dataset/t10k/124.png,3
dataset/t10k/125.png,0
dataset/t10k/126.png,8
dataset/t10k/127.png,4
dataset/t10k/128.png,1
dataset/t10k/129.png,5
dataset/t10k/130.png,4
dataset/t10k/131.png,1
dataset/t10k/132.png,9
dataset/t10k/133.png,1
dataset/t10k/134.png,8
dataset/t10k/135.png,6
dataset/t10k/136.png,2
dataset/t10k/137.png,1
dataset/t10k/138.png,2
dataset/t10k/139.png,5
dataset/t10k/140.png,1
dataset/t10k/141.png,0
dataset/t10k/142.png,0
dataset/t10k/143.png,0
dataset/t10k/144.png,1
dataset/t10k/145.png,6
